JobID|TotalCPU|AllocCPUS|ReqCPUS|ConsumedEnergy|AveCPUFreq|JobName|Elapsed|
27987927|3-16:43:03|384|384|2807.55K||sp-mz|00:20:36|
27987927.batch|00:01.655|48|48|415.56K|2100000K|batch|00:20:36|
27987927.extern|00:00.009|384|384|2807.55K|16800000K|extern|00:20:36|
27987927.0|04:47:56|192|192|114.11K|1039K|sp-mz.D.8|00:01:30|
27987927.1|04:16:35|192|192|111.01K|3389K|sp-mz.D.12|00:01:22|
27987927.2|03:35:18|192|192|94.03K|16945K|sp-mz.D.16|00:01:08|
27987927.3|03:08:18|192|192|84.81K|31883K|sp-mz.D.24|00:01:00|
27987927.4|03:05:45|192|192|88.75K|37470K|sp-mz.D.32|00:00:59|
27987927.5|02:51:50|192|192|86.97K|68812K|sp-mz.D.48|00:00:55|
27987927.6|03:06:59|192|192|103.31K|175332K|sp-mz.D.96|00:01:01|
27987927.7|04:01:23|192|192|130.19K|2406791K|sp-mz.D.192|00:01:17|
27987927.8|04:50:06|288|288|114.81K|2732K|sp-mz.D.12|00:01:01|
27987927.9|04:23:33|288|288|111.43K|15623K|sp-mz.D.18|00:00:55|
27987927.10|03:26:41|288|288|90.06K|24094K|sp-mz.D.24|00:00:45|
27987927.11|03:13:00|288|288|88.38K|28303K|sp-mz.D.36|00:00:41|
27987927.12|03:10:44|288|288|90.54K|85673K|sp-mz.D.48|00:00:41|
27987927.13|03:01:07|288|288|91.55K|270134K|sp-mz.D.72|00:00:40|
27987927.14|03:29:29|288|288|111.36K|821944K|sp-mz.D.144|00:00:45|
27987927.15|04:12:18|288|288|133.14K|2700864K|sp-mz.D.288|00:00:54|
27987927.16|04:55:03|384|384|116.87K|24240K|sp-mz.D.16|00:00:47|
27987927.17|04:24:43|384|384|112.98K|60955K|sp-mz.D.24|00:00:43|
27987927.18|03:35:52|384|384|93.33K|292702K|sp-mz.D.32|00:00:35|
27987927.19|03:17:14|384|384|90.33K|458729K|sp-mz.D.48|00:00:31|
27987927.20|03:07:52|384|384|89.80K|16949932K|sp-mz.D.64|00:00:31|
27987927.21|02:55:34|384|384|90.03K|19021768K|sp-mz.D.96|00:00:29|
27987927.22|03:29:15|384|384|111.34K|12056770K|sp-mz.D.192|00:00:35|
27987927.23|04:16:15|384|384|135.10K|23154975K|sp-mz.D.384|00:00:41|
